;;;;;;;
52;1.01.01.2.06.04;Penyediaan Bahan Logistik Kantor;1;1;1;5;T
53;1.01.01.2.06.05;Penyediaan Barang Cetakan dan Penggandaan;1;1;1;5;T
54;1.01.01.2.06.06;Penyediaan Bahan Bacaan dan Peraturan Perundang-undangan;1;1;1;5;T
55;1.01.01.2.06.08;Fasilitasi Kunjungan Tamu;1;1;1;5;T
56;1.01.01.2.06.09;Penyelenggaraan Rapat Koordinasi dan Konsultasi SKPD;1;1;1;5;T
57;1.01.01.2.06.10;Penatausahaan Arsip Dinamis pada SKPD;1;1;1;5;T
58;1.01.01.2.07.0005;Pengadaan Mebel;1;1;1;6;T
59;1.01.01.2.07.0006;Pengadaan Peralatan dan Mesin Lainnya;1;1;1;6;T
60;1.01.01.2.07.0010;Pengadaan Sarana dan Prasarana Gedung Kantor atau Bangunan Lainnya;1;1;1;6;T
61;1.01.01.2.07.0011;Pengadaan Sarana dan Prasarana Pendukung Gedung Kantor atau Bangunan Lainnya;1;1;1;6;T
62;1.01.01.2.07.05;Pengadaan Mebel;1;1;1;6;T
63;1.01.01.2.07.06;Pengadaan Peralatan dan Mesin Lainnya;1;1;1;6;T
64;1.01.01.2.07.11;Pengadaan Sarana dan Prasarana Pendukung Gedung Kantor atau Bangunan Lainnya;1;1;1;6;T
65;1.01.01.2.08.0002;Penyediaan Jasa Komunikasi, Sumber Daya Air dan Listrik;1;1;1;7;T
66;1.01.01.2.08.0003;Penyediaan Jasa Peralatan dan Perlengkapan Kantor;1;1;1;7;T
67;1.01.01.2.08.0004;Penyediaan Jasa Pelayanan Umum Kantor;1;1;1;7;T
68;1.01.01.2.08.02;Penyediaan Jasa Komunikasi, Sumber Daya Air dan Listrik;1;1;1;7;T
69;1.01.01.2.08.03;Penyediaan Jasa Peralatan dan Perlengkapan Kantor;1;1;1;7;T
70;1.01.01.2.08.04;Penyediaan Jasa Pelayanan Umum Kantor;1;1;1;7;T
71;1.01.01.2.09.0002;Penyediaan Jasa Pemeliharaan, Biaya Pemeliharaan, Pajak dan Perizinan Kendaraan Dinas Operasional atau Lapangan;1;1;1;8;T
72;1.01.01.2.09.0005;Pemeliharaan Mebel;1;1;1;8;T
73;1.01.01.2.09.0009;Pemeliharaan/Rehabilitasi Gedung Kantor dan Bangunan Lainnya;1;1;1;8;T
74;1.01.01.2.09.01;Penyediaan Jasa Pemeliharaan, Biaya Pemeliharaan dan Pajak Kendaraan Perorangan Dinas atau Kendaraan Dinas Jabatan;1;1;1;8;T
75;1.01.01.2.09.05;Pemeliharaan Mebel;1;1;1;8;T
76;1.01.01.2.09.09;Pemeliharaan/Rehabilitasi Gedung Kantor dan Bangunan Lainnya;1;1;1;8;T
77;1.01.01.2.09.11;Pemeliharaan/Rehabilitasi Sarana dan Prasarana Pendukung Gedung Kantor atau Bangunan Lainnya;1;1;1;8;T
78;1.01.02.2.01.0001;Pembangunan Unit Sekolah Baru (USB);1;1;2;9;T
