;;;;;;
46;1.03.04.2.01;Pengembangan Sistem dan Pengelolaan Persampahan di Daerah Kabupaten/Kota;1;3;13;T
47;1.03.05.2.01;Pengelolaan dan Pengembangan Sistem Air Limbah Domestik dalam Daerah Kabupaten/Kota;1;3;14;T
48;1.03.06.2.01;Pengelolaan dan Pengembangan Sistem Drainase yang Terhubung Langsung dengan Sungai dalam Daerah Kabupaten/Kota;1;3;15;T
49;1.03.08.2.01;Penyelenggaraan Bangunan Gedung di Wilayah Daerah Kabupaten/Kota, Pemberian Izin Mendirikan Bangunan (IMB) dan Sertifikat Laik Fungsi Bangunan Gedung;1;3;16;T
50;1.03.10.2.01;Penyelenggaraan Jalan Kabupaten/Kota;1;3;17;T
51;1.03.11.2.01;Penyelenggaraan Pelatihan Tenaga Terampil Konstruksi;1;3;18;T
52;1.03.11.2.02;Penyelenggaraan Sistem Informasi Jasa Konstruksi Cakupan Daerah Kabupaten/Kota;1;3;18;T
53;1.03.11.2.03;Penerbitan Izin Usaha Jasa Konstruksi Nasional (Non Kecil dan Kecil);1;3;18;T
54;1.03.11.2.04;Pengawasan Tertib Usaha, Tertib Penyelenggaraan dan Tertib Pemanfaatan Jasa Konstruksi;1;3;18;T
55;1.03.12.2.01;Penetapan Rencana Tata Ruang Wilayah (RTRW) dan Rencana Rinci Tata Ruang (RRTR) Kabupaten/Kota;1;3;19;T
56;1.03.12.2.02;Koordinasi dan Sinkronisasi Perencanaan Tata Ruang Daerah Kabupaten/Kota;1;3;19;T
57;1.03.12.2.03;Koordinasi dan Sinkronisasi Pemanfaatan Ruang Daerah Kabupaten/Kota;1;3;19;T
58;1.03.12.2.04;Koordinasi dan Sinkronisasi Pengendalian Pemanfaatan Ruang Daerah Kabupaten/Kota;1;3;19;T
59;1.04.01.2.01;Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah;1;4;20;T
60;1.04.01.2.02;Administrasi Keuangan Perangkat Daerah;1;4;20;T
61;1.04.01.2.05;Administrasi Kepegawaian Perangkat Daerah;1;4;20;T
62;1.04.01.2.06;Administrasi Umum Perangkat Daerah;1;4;20;T
63;1.04.01.2.07;Pengadaan Barang Milik Daerah Penunjang Urusan Pemerintah Daerah;1;4;20;T
64;1.04.01.2.08;Penyediaan Jasa Penunjang Urusan Pemerintahan Daerah;1;4;20;T
65;1.04.01.2.09;Pemeliharaan Barang Milik Daerah Penunjang Urusan Pemerintahan Daerah;1;4;20;T
66;1.04.02.2.01;Pendataan Penyediaan dan Rehabilitasi Rumah Korban Bencana atau Relokasi Program Kabupaten/Kota;1;4;21;T
67;1.04.02.2.02;Sosialisasi dan Persiapan Penyediaan dan Rehabilitasi Rumah Korban Bencana atau Relokasi Program Kabupaten/Kota;1;4;21;T
68;1.04.02.2.03;Pembangunan dan Rehabilitasi Rumah Korban Bencana atau Relokasi Program Kabupaten/Kota;1;4;21;T
69;1.04.02.2.06;Penerbitan Izin Pembangunan dan Pengembangan Perumahan;1;4;21;T
70;1.04.03.2.01;Penerbitan Izin Pembangunan dan Pengembangan Kawasan Permukiman;1;4;22;T
71;1.04.03.2.02;Penataan dan Peningkatan Kualitas Kawasan Permukiman Kumuh dengan Luas di Bawah 10 (Sepuluh) Ha;1;4;22;T
72;1.04.03.2.03;Peningkatan Kualitas Kawasan Permukiman Kumuh dengan Luas di Bawah 10 (Sepuluh) Ha;1;4;22;T
73;1.04.04.2.01;Pencegahan Perumahan dan Kawasan Permukiman Kumuh pada Daerah Kabupaten/Kota;1;4;23;T
74;1.04.05.2.01;Urusan Penyelenggaraan PSU Perumahan;1;4;24;T
75;1.05.01.2.01;Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah;1;5;25;T
76;1.05.01.2.02;Administrasi Keuangan Perangkat Daerah;1;5;25;T
77;1.05.01.2.05;Administrasi Kepegawaian Perangkat Daerah;1;5;25;T
78;1.05.01.2.06;Administrasi Umum Perangkat Daerah;1;5;25;T
79;1.05.01.2.07;Pengadaan Barang Milik Daerah Penunjang Urusan Pemerintah Daerah;1;5;25;T
80;1.05.01.2.08;Penyediaan Jasa Penunjang Urusan Pemerintahan Daerah;1;5;25;T
81;1.05.01.2.09;Pemeliharaan Barang Milik Daerah Penunjang Urusan Pemerintahan Daerah;1;5;25;T
82;1.05.02.2.01;Penanganan Gangguan Ketenteraman dan Ketertiban Umum dalam 1 (satu) Daerah Kabupaten/Kota;1;5;26;T
83;1.05.03.2.01;Pelayanan Informasi Rawan Bencana Kabupaten/Kota;1;5;27;T
84;1.05.03.2.02;Pelayanan Pencegahan dan Kesiapsiagaan Terhadap Bencana;1;5;27;T
85;1.05.03.2.03;Pelayanan Penyelamatan dan Evakuasi Korban Bencana;1;5;27;T
86;1.05.03.2.04;Penataan Sistem Dasar Penanggulangan Bencana;1;5;27;T
87;1.05.04.2.01;Pencegahan, Pengendalian, Pemadaman, Penyelamatan, dan Penanganan Bahan Berbahaya dan Beracun Kebakaran dalam Daerah Kabupaten/Kota;1;5;28;T
88;1.05.04.2.02;Inspeksi Peralatan Proteksi Kebakaran;1;5;28;T
89;1.05.04.2.04;Pemberdayaan Masyarakat dalam Pencegahan Kebakaran;1;5;28;T
90;1.05.04.2.05;Penyelenggaraan Operasi Pencarian dan Pertolongan Terhadap Kondisi Membahayakan Manusia;1;5;28;T
91;1.06.01.2.01;Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah;1;6;30;T
92;1.06.01.2.02;Administrasi Keuangan Perangkat Daerah;1;6;30;T
93;1.06.01.2.05;Administrasi Kepegawaian Perangkat Daerah;1;6;30;T
94;1.06.01.2.06;Administrasi Umum Perangkat Daerah;1;6;30;T
95;1.06.01.2.07;Pengadaan Barang Milik Daerah Penunjang Urusan Pemerintah Daerah;1;6;30;T
96;1.06.01.2.08;Penyediaan Jasa Penunjang Urusan Pemerintahan Daerah;1;6;30;T
97;1.06.01.2.09;Pemeliharaan Barang Milik Daerah Penunjang Urusan Pemerintahan Daerah;1;6;30;T
98;1.06.02.2.03;Pengembangan Potensi Sumber Kesejahteraan Sosial Daerah Kabupaten/Kota;1;6;31;T
99;1.06.04.2.01;Rehabilitasi Sosial Dasar Penyandang Disabilitas Terlantar, Anak Terlantar, Lanjut Usia Terlantar, serta Gelandangan Pengemis di Luar Panti Sosial;1;6;32;T
100;1.06.04.2.02;Rehabilitasi Sosial Penyandang Masalah Kesejahteraan Sosial (PMKS) Lainnya Bukan Korban HIV/AIDS dan NAPZA di Luar Panti Sosial;1;6;32;T
101;1.06.05.2.02;Pengelolaan Data Fakir Miskin Cakupan Daerah Kabupaten/Kota;1;6;33;T
102;1.06.06.2.01;Perlindungan Sosial Korban Bencana Alam dan Sosial Kabupaten/Kota;1;6;34;T
103;1.06.06.2.02;Penyelenggaraan Pemberdayaan Masyarakat terhadap Kesiapsiagaan Bencana Kabupaten/Kota;1;6;34;T
104;1.06.07.2.001;Pemeliharaan Taman Makam Pahlawan Nasional Kabupaten/Kota;1;6;35;T
105;1.06.07.2.01;Pemeliharaan Taman Makam Pahlawan Nasional Kabupaten/Kota;1;6;35;T
106;2.07.01.2.01;Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah;2;7;36;T
107;2.07.01.2.02;Administrasi Keuangan Perangkat Daerah;2;7;36;T
108;2.07.01.2.05;Administrasi Kepegawaian Perangkat Daerah;2;7;36;T
109;2.07.01.2.06;Administrasi Umum Perangkat Daerah;2;7;36;T
110;2.07.01.2.07;Pengadaan Barang Milik Daerah Penunjang Urusan Pemerintah Daerah;2;7;36;T
111;2.07.01.2.08;Penyediaan Jasa Penunjang Urusan Pemerintahan Daerah;2;7;36;T
112;2.07.01.2.09;Pemeliharaan Barang Milik Daerah Penunjang Urusan Pemerintahan Daerah;2;7;36;T
113;2.07.02.2.01;Penyusunan Rencana Tenaga Kerja (RTK);2;7;37;T
114;2.07.03.2.01;Pelaksanaan Pelatihan berdasarkan Unit Kompetensi;2;7;38;T
115;2.07.03.2.02;Pembinaan Lembaga Pelatihan Kerja Swasta;2;7;38;T
116;2.07.03.2.04;Konsultansi Produktivitas pada Perusahaan Kecil;2;7;38;T
117;2.07.04.2.01;Pelayanan antar Kerja di Daerah Kabupaten/Kota;2;7;39;T
118;2.07.04.2.03;Pengelolaan Informasi Pasar Kerja;2;7;39;T
119;2.07.04.2.04;Pelindungan PMI (Pra dan Purna Penempatan) di Daerah Kabupaten/Kota;2;7;39;T
120;2.07.05.2.01;Pengesahan Peraturan Perusahaan dan Pendaftaran Perjanjian Kerja Bersama untuk Perusahaan yang Hanya Beroperasi dalam 1 (Satu) Daerah Kabupaten/Kota;2;7;40;T
